original_sample_name,tissue,mouse,genotype,Sample,age,chip
263,left_hemisphere,old_mouse_1,WT,S1823,old,1
264,left_hemisphere,old_mouse_2,WT,S1824,old,2
265,left_hemisphere,old_mouse_3,WT,S1825,old,1
294,left_hemisphere,old_mouse_4,KO,S1826,old,2
295,left_hemisphere,old_mouse_5,KO,S1827,old,2
296,left_hemisphere,old_mouse_6,KO,S1828,old,1
1,hippocampus,young_mouse_1,WT,EKDL2651,young,3
2,hippocampus,young_mouse_2,HET,EKDL2652,young,3
3,hippocampus,young_mouse_3,KO,EKDL2653,young,3
4,cortex,young_mouse_1,WT,EKDL2654,young,4
5,cortex,young_mouse_2,HET,EKDL2655,young,4
6,cortex,young_mouse_3,KO,EKDL2656,young,4
7,hippocampus,young_mouse_4,WT,EKDL2657,young,5
8,hippocampus,young_mouse_5,HET,EKDL2658,young,5
9,hippocampus,young_mouse_6,KO,EKDL2659,young,5
10,cortex,young_mouse_4,WT,EKDL2660,young,6
11,cortex,young_mouse_5,HET,EKDL2661,young,6
12,cortex,young_mouse_6,KO,EKDL2662,young,6
